Transaction ID,Payment Amount,Date Completed,Client ID,Job ID
tt55825,$2.93 ,7/18/2742,cc33706,tt23178
tt55808,$38.13 ,12/19/2816,cc69694,tt44018
tt23764,$86.02 ,10/5/2174,cc69785,tt88720
tt11206,$0.11 ,6/3/2788,cc77388,tt22156
tt22309,$4.96 ,8/31/2242,cc31096,tt31119
tt66732,"$3,780.43 ",4/22/2492,cc56953,tt77589
tt50931,$33.09 ,8/16/2922,cc95039,tt96354
tt39065,"$4,201.06 ",6/28/2987,cc15288,tt32663
tt79750,"$3,752.59 ",3/24/2918,cc88137,tt52909
tt81782,$649.66 ,11/29/2279,cc21488,tt86525
tt98617,$301.24 ,7/27/2981,cc67120,tt92302
tt15319,$541.91 ,11/26/2372,cc91237,tt55881
tt76058,"$55,022.13 ",12/11/2703,cc81013,tt11719
tt17928,$915.87 ,7/6/2790,cc82976,tt61410
tt82524,$159.30 ,12/14/2470,cc44000,tt15081
tt56408,"$2,884.87 ",8/20/2999,cc76965,tt36838
tt35091,$20.71 ,4/16/2329,cc33964,tt87630
tt23808,"$39,946.68 ",2/28/2793,cc37322,tt61206
tt62387,$448.13 ,8/25/2355,cc49392,tt27171
tt69516,"$2,319.61 ",10/24/2784,cc65959,tt79930
tt88877,$126.73 ,8/15/2612,cc94447,tt87893
tt61067,$788.80 ,6/5/2077,cc85602,tt80590
tt85427,$755.32 ,6/30/2974,cc56242,tt64118
tt55381,$32.43 ,9/8/2640,cc10343,tt78161
tt30408,$3.08 ,11/24/2464,cc58323,tt64685
tt91173,"$69,511.99 ",9/11/2875,cc65133,tt31153
tt17703,"$65,391.34 ",2/26/2782,cc37062,tt88690
tt80625,$2.75 ,1/12/2330,cc86625,tt21838
tt99427,$771.88 ,5/7/2135,cc12005,tt54394
tt28913,$608.01 ,7/2/2052,cc40962,tt97177
tt66683,"$58,696.38 ",4/22/2643,cc84516,tt26439
tt23472,$82.71 ,10/23/2208,cc68850,tt33622
tt79093,"$3,448.31 ",11/27/2711,cc46118,tt32762
tt50557,$79.12 ,9/5/2135,cc92939,tt70143
tt26415,$974.41 ,5/5/2621,cc59565,tt66212
tt58819,"$35,081.91 ",11/11/2381,cc51811,tt67139
tt15681,$27.92 ,5/12/2765,cc31374,tt55373
tt46276,$186.15 ,8/1/2038,cc86640,tt88399
tt75165,$292.11 ,3/6/2189,cc47489,tt11358
tt28623,"$88,081.00 ",8/7/2235,cc74209,tt90999
tt97833,$2.71 ,3/10/2106,cc92751,tt92703
tt93542,$64.68 ,9/29/2627,cc94941,tt94041
tt97315,$514.18 ,1/7/2873,cc24664,tt46496
tt13767,"$10,299.39 ",10/27/2859,cc31078,tt35789
tt77128,"$71,802.75 ",3/15/2296,cc82248,tt24941
tt85155,$294.50 ,12/23/2506,cc20788,tt33760
tt61510,"$3,300.29 ",2/3/2435,cc34274,tt13350
tt53653,$8.98 ,8/15/2831,cc12693,tt26135
tt13045,$237.66 ,4/2/2453,cc57092,tt25423
tt20696,"$7,185.22 ",7/5/2448,cc50251,tt28919
tt40855,$7.64 ,2/4/2527,cc21209,tt42742
tt43315,$754.27 ,5/10/2650,cc46461,tt52177
